,Apple,Apple,Apple,Apple,Apple,Samsung,Samsung,Samsung,Samsung,Samsung
,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,
2015-01-20,24.079788208007812,24.135159317135944,23.58809248858328,23.884880822409823,199599600.0,21107.740234375,21107.740234375,20692.354675826806,20769.277927409803,13278050.0
2015-01-21,24.26361656188965,24.598056787392125,23.98011511203048,24.130724570790218,194303600.0,21461.587890625,21461.587890625,20923.12511200717,21030.817667730735,16612650.0
2015-01-22,24.894855499267578,24.910359345032568,24.301277034591283,24.420878854689395,215185600.0,21200.060546875,21523.138392654662,21200.060546875,21507.75373333182,17957700.0
2015-01-23,25.0233097076416,25.193851962029953,24.702156295129555,24.872700239309875,185859200.0,21323.126953125,21538.512073863636,21184.66508979302,21538.512073863636,12858750.0
2015-01-26,25.049888610839844,25.32895946484357,24.983444295938444,25.191638510380002,222460000.0,21369.28515625,21461.59308349082,20984.66879274658,21153.899992688082,10153500.0
2015-01-27,24.17281723022461,24.912576309397437,24.148453801013396,24.899286090868777,382274800.0,21538.51953125,21538.51953125,21138.51845424107,21153.90311104911,9957200.0
2015-01-28,25.539371490478516,26.16174394651588,25.539371490478516,26.05321534893324,585908400.0,21200.060546875,21384.676458749094,21138.521909583636,21323.13782145773,10831500.0
2015-01-29,26.33449935913086,26.398730047323408,25.59474047597541,25.76306911779753,337745600.0,20923.130859375,21461.593785903035,20876.976894244028,21046.208099724267,13702250.0
2015-01-30,25.949125289916992,26.57814046993839,25.880463944643974,26.223765601631076,334982000.0,21000.05078125,21184.666612293957,20923.127518315017,20923.127518315017,16110000.0
2015-02-02,26.274690628051758,26.3942923925535,25.709906489328255,26.14623097562396,250956400.0,21046.19921875,21184.66105571546,20861.583436129386,21000.045273094845,10521000.0
2015-02-03,26.279129028320312,26.376581032432806,26.048785008958852,26.24590602450807,207662800.0,21015.4296875,21230.814764824303,20907.737148837845,21230.814764824303,5654400.0
2015-02-04,26.480676651000977,26.6910878633719,26.203821126664508,26.2459037070971,280598800.0,20907.740234375,21246.20254869159,20907.740234375,21153.894644787066,9328900.0
2015-02-05,26.66968536376953,26.7341695476522,26.51625741948107,26.687472758681785,168984800.0,20892.359375,21061.59056286819,20707.74353368925,20907.744028442565,6770400.0
2015-02-06,26.445106506347656,26.738619769850555,26.338373639409618,26.68747654900368,174826400.0,21107.740234375,21138.5095350082,20553.892822977406,20707.739326143404,8005050.0
2015-02-09,26.620765686035156,26.64744762610821,26.33392295502217,26.36060659155632,155559200.0,21461.587890625,21523.12649389561,20876.97115955421,20923.12511200717,8693500.0
2015-02-10,27.132186889648438,27.16109458407621,26.71860158755748,26.72082395138966,248034000.0,21200.060546875,21538.523051977503,21184.67588755216,21538.523051977503,6519350.0
2015-02-11,27.76813507080078,27.77702961636251,27.238922333336244,27.29895839530153,294247200.0,20846.20703125,21138.51546932657,20830.822376614393,21138.51546932657,9973800.0
2015-02-12,28.119455337524414,28.346261954566934,27.921556410837518,28.030511599399127,297898000.0,20676.974609375,20892.35976155599,20476.974110921223,20615.435994466145,10748200.0
2015-02-13,28.257326126098633,28.301797159379046,27.93935331840626,28.301797159379046,217088800.0,20938.513671875,20938.513671875,20692.359212837528,20923.12901818516,6522900.0
2015-02-16,,,,,,21138.51171875,21138.51171875,20938.511243972887,21046.20380731441,6226500.0
2015-02-17,28.42409324645996,28.657570397556903,28.221746155981133,28.3484904589152,252609600.0,21184.66796875,21184.66796875,20984.667472312998,21138.51400803377,5745000.0
2015-02-18,28.62199592590332,28.63533689747999,28.33959958681433,28.379624198005633,179566800.0,,,,,
2015-02-19,28.561960220336914,28.69092860974826,28.535278275259678,28.568630706606225,149449600.0,,,,,
2015-02-20,28.795427322387695,28.795427322387695,28.473008158366138,28.59975074596782,195793600.0,,,,,
2015-02-23,29.573684692382812,29.573684692382812,28.831008011401682,28.91105721846636,283896400.0,21030.82421875,21384.671297777983,21015.439563140088,21200.055430459033,15301800.0
2015-02-24,29.389141082763672,29.707115702728775,29.1667824424526,29.560358185821805,276912400.0,21030.82421875,21369.28664216807,20984.670251920263,21307.74801972842,10863250.0
